,renewables_electricity,renewables_consumption
575,0.4,1.011
576,0.425,1.068
577,0.435,1.088
578,0.47700000000000004,1.153
579,0.496,1.272
580,5.572,15.478
581,5.846,16.134
582,6.789,18.615
583,8.078,22.004
584,9.519,25.776999999999997
585,9.812000000000001,26.396
586,9.201,24.601
587,10.305,27.378
588,10.096,26.653000000000002
589,10.062999999999999,26.401
590,12.429,32.41
591,14.181,36.75
592,14.837,38.217
593,15.968,40.881
594,17.984,45.785
595,18.937,47.95399999999999
596,18.39,46.417
597,21.813000000000002,54.793
598,20.766,51.977
599,22.613000000000003,58.38399999999999
600,0.792,
601,0.7340000000000001,
602,0.91,
603,1.238,
604,1.67,
605,1.913,
606,1.7790000000000001,
607,1.739,
608,1.413,
609,1.492,
610,1.51,
611,1.62,
612,1.959,
613,2.21,
614,1.6540000000000001,
615,1.33,
616,1.973,
617,2.8560000000000003,
618,2.698,
619,2.487,
620,7.532999999999999,21.142
621,7.0,19.512999999999998
622,7.45,20.631
623,7.109,19.562
624,7.337999999999999,20.072
625,6.864,18.79
626,7.737,19.445999999999998
627,9.897,24.59
628,11.392000000000001,30.369
629,9.35,24.779
630,8.789,23.141
631,11.302999999999999,29.581
632,12.414000000000001,32.292
633,11.289000000000001,29.174
634,11.838,30.421
635,13.509,34.503
636,16.288,41.358999999999995
637,20.456,51.576
638,21.017,52.75100000000001
639,24.997,62.824
640,14.011,39.608000000000004
641,15.511,40.274
642,13.254000000000001,38.957
643,13.582,36.032
644,13.366,36.102
645,13.395999999999999,35.385999999999996
646,13.745,35.792
647,16.526,39.528
648,15.795,42.308
649,14.177,38.858000000000004
650,14.936,37.516999999999996
651,14.863,38.171
652,14.661,38.296
653,15.08,37.99
654,15.693,37.549
655,15.954,39.515
656,15.812999999999999,40.571
657,15.84,39.583
658,16.945,42.016999999999996
659,19.329,49.177
660,1.969,
661,2.137,
662,2.1430000000000002,
663,2.5180000000000002,
664,2.4459999999999997,
665,2.804,
666,3.24,
667,3.261,
668,3.612,
669,3.153,
670,3.7889999999999997,
671,3.719,
672,3.637,
673,3.69,
674,3.6180000000000003,
675,3.154,
676,3.1639999999999997,
677,3.603,
678,3.6,
679,3.5780000000000003,
680,0.002,
681,0.002,
682,0.005,
683,0.006999999999999999,
684,0.006999999999999999,
685,0.077,
686,0.077,
687,0.077,
688,0.052000000000000005,
689,0.052000000000000005,
690,0.027999999999999997,
691,0.027999999999999997,
692,0.08,
693,0.251,
694,0.379,
695,0.561,
696,0.565,
697,0.434,
698,0.58,
699,0.586,
700,0.001,
701,0.001,
702,0.001,
703,0.001,
704,0.001,
705,0.001,
706,0.002,
707,0.002,
708,0.002,
709,0.002,
710,0.004,
711,0.004,
712,0.004,
713,0.004,
714,0.004,
715,0.004,
716,0.004,
717,0.013000000000000001,
718,0.045,
719,0.062,
720,0.018000000000000002,0.05
721,0.018000000000000002,0.05
722,0.03,0.094
723,0.049,0.12300000000000001
724,0.06,0.16399999999999998
725,0.111,0.293
726,0.13,0.34299999999999997
727,0.146,0.396
728,0.198,0.525
729,0.54,1.42
730,1.044,2.728
731,1.18,3.0610000000000004
732,1.476,3.805
733,1.22,3.1319999999999997
734,1.389,3.4960000000000004
735,1.5019999999999998,3.863
736,1.524,3.833
737,1.801,6.114
738,1.989,4.758
739,2.077,4.837
740,1.679,
741,2.017,
742,2.048,
743,2.305,
744,2.545,
745,2.858,
746,3.281,
747,3.395,
748,3.326,
749,3.562,
750,4.96,
751,6.2829999999999995,
752,7.546,
753,8.652999999999999,
754,9.47,
755,10.385,
756,12.464,
757,13.137,
758,13.47,
759,14.574000000000002,
