,fossil_fuel_consumption,co2
462,207.379,55.43
463,212.59,57.094
464,212.84,54.569
465,211.651,60.06
466,241.847,62.005
467,239.394,60.179
468,263.741,66.65
469,259.22900000000004,72.557
470,286.278,76.278
471,283.842,76.08
472,315.492,79.727
473,330.9240000000001,87.428
474,353.995,88.699
475,357.326,91.965
476,378.724,93.242
477,362.163,86.296
478,367.932,84.881
479,400.957,90.419
480,,0.565
481,,0.7659999999999999
482,,0.575
483,,0.916
484,,0.949
485,,0.996
486,,1.127
487,,1.211
488,,1.33
489,,1.724
490,,1.962
491,,2.24
492,,2.945
493,,3.208
494,,3.102
495,,3.452
496,,3.702
497,,3.565
498,,3.623
499,,3.2910000000000004
500,,5.394
501,,5.667000000000001
502,,6.245
503,,6.582999999999999
504,,6.8420000000000005
505,,6.723
506,,7.007000000000001
507,,7.961
508,,7.99
509,,7.747999999999999
510,,7.492999999999999
511,,7.311
512,,7.26
513,,7.632000000000001
514,,7.747999999999999
515,,7.406000000000001
516,,7.922999999999999
517,,8.312000000000001
518,,8.222000000000001
519,,8.818
520,77.46600000000002,19.661
521,80.422,20.783
522,84.54299999999998,21.888
523,90.491,23.214
524,88.545,22.892
525,89.066,23.346
526,89.03299999999999,23.554
527,95.014,24.866
528,91.402,23.599
529,85.493,21.809
530,82.44200000000002,21.019
531,79.79899999999998,20.652
532,72.795,19.089
533,70.368,18.436
534,68.669,17.682000000000002
535,70.384,17.817
536,72.108,18.083
537,75.561,18.718
538,73.13,17.698
539,73.783,17.779
540,,25.775
541,,25.216
542,,25.524
543,,25.943
544,,25.221
545,,24.442
546,,24.693
547,,24.24
548,,28.108
549,,28.396
550,,34.2
551,,29.431
552,,29.742
553,,28.024
554,,27.442
555,,29.311
556,,28.178
557,,25.208
558,,22.609
559,,22.525
560,30.261,7.12
561,30.61,6.994
562,30.186,7.184
563,32.088,7.574
564,31.226,7.801
565,34.99,7.955
566,34.408,8.183
567,34.966,8.502
568,35.643,8.714
569,34.731,8.469
570,33.674,8.1
571,33.027,7.786
572,30.693,7.262
573,27.19,6.581
574,27.295,6.95
575,27.969,6.97
576,30.471,7.372999999999999
577,31.31,7.523
578,31.103,7.34
579,30.998,7.34
580,219.737,54.292
