,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity,biofuel_electricity,nuclear_electricity
1169,0.33899999999999997,2.758,3.616,76.127,17.764,263.053
1170,-2.33,3.543,4.016,83.432,28.359,280.25
1171,2.272,4.8389999999999995,4.676,84.551,28.641,156.18200000000004
1172,0.317,6.6129999999999995,4.838,76.17699999999998,29.714000000000002,17.23
1173,-0.753,12.879000000000001,5.187,79.036,30.916,13.947000000000001
1175,-0.8759999999999999,34.803000000000004,5.58,86.751,33.24,4.346
1176,1.087,45.761,6.166,79.138,34.148,9.266
1177,0.308,55.068999999999996,6.49,83.417,40.475,11.61
1178,-2.229,62.668,7.481,80.634,44.213,49.199
1179,-1.8090000000000002,74.52199999999998,8.533999999999999,79.82,41.29,65.682
1440,53.861000000000004,0.006999999999999999,0.019,32.802,1.672,7.81
1441,47.440000000000005,0.008,0.018000000000000002,28.217,2.509,8.29
1442,19.586000000000002,0.008,0.021,24.701,2.477,9.26
1443,143.534,0.008,0.019,19.680999999999997,2.454,9.975
1444,60.278000000000006,0.009000000000000001,0.02,24.954,2.515,8.734
1445,33.88099999999998,0.009000000000000001,0.019,27.381999999999998,3.074,10.318
1446,3.6889999999999983,0.01,0.059000000000000004,30.09,2.332,10.4
1447,-129.46800000000002,0.009000000000000001,0.262,27.003,2.363,9.947000000000001
1448,-178.77600000000004,0.009000000000000001,0.26899999999999996,38.786,0.708,9.359
1449,-75.04400000000001,0.012,0.596,26.445999999999998,0.631,10.107999999999999
1450,-12.008000000000001,0.031,1.237,36.79,0.7759999999999999,5.5920000000000005
1451,20.480999999999998,0.040999999999999995,1.6340000000000001,35.92800000000001,0.731,9.312999999999999
1452,-42.798,0.069,3.667,31.587,1.17,8.412
1453,-10.013999999999998,0.106,4.168,27.721999999999998,1.3219999999999998,11.377
1454,-65.941,0.221,6.351,38.549,1.43,9.312000000000001
1455,-149.25,0.239,8.453,30.614,1.369,11.185
1456,-123.844,0.46399999999999997,9.935,29.744,1.534,10.272
1457,-176.73600000000002,1.074,9.913,31.739,2.164,10.572000000000001
1458,-122.116,1.8359999999999999,12.238,32.384,2.529,13.2
1459,-101.81,6.591,16.837,23.845,2.9939999999999998,10.880999999999998
1600,-15.722000000000001,0.008,0.8290000000000001,0.142,1.992,3.926
1601,32.861,0.012,0.825,0.11699999999999999,2.3480000000000003,3.9760000000000004
1602,-11.277999999999999,0.016,0.9470000000000001,0.11,2.9019999999999997,3.915
1603,-28.028000000000002,0.025,1.32,0.07200000000000001,2.545,4.018
1604,109.0,0.034,1.871,0.095,3.3080000000000003,3.822
1605,-62.833,0.035,2.0669999999999997,0.08800000000000001,5.2570000000000014,3.997
1606,-8.306000000000001,0.037000000000000005,2.734,0.106,5.172999999999999,3.469
1607,-25.0,0.038,3.438,0.107,4.0,4.2
1608,89.056,0.04,4.26,0.102,5.129,4.169
1609,-54.083,0.045,4.581,0.098,6.1110000000000015,4.248
1610,97.667,0.055999999999999994,3.9930000000000003,0.105,7.0429999999999975,3.969
1611,-57.693999999999996,0.10400000000000001,5.1,0.057,7.059,4.141
1612,-10.944,0.191,4.982,0.10400000000000001,7.204,3.915
1613,40.028,0.41,5.6270000000000024,0.114,5.954,2.891
1614,-120.195,0.725,5.7970000000000015,0.11199999999999999,5.013,4.091
1615,-145.139,1.109,7.55,0.09300000000000001,4.934,4.077
1616,-15.860999999999999,1.6019999999999999,8.17,0.1,4.905,3.96
1617,-57.583,2.208,10.569,0.061,4.599,3.4019999999999997
1618,-62.306000000000004,3.693,10.564,0.07200000000000001,4.555,3.515
1619,-42.07,5.32,11.523,0.07400000000000001,5.797999999999999,3.91
