,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity,biofuel_electricity
558,0.0,0.147,0.021,0.145,0.444
559,0.0,0.15,0.021,0.177,0.358
580,40.92099999999999,0.001,4.2410000000000005,0.03,1.3
581,-6.6610000000000005,0.001,4.306,0.027999999999999997,1.511
582,14.054000000000002,0.001,4.877,0.032,1.879
583,-6.355,0.002,5.561,0.021,2.494
584,28.046,0.002,6.5829999999999975,0.027000000000000003,2.907
585,4.095,0.002,6.614,0.023,3.173
586,-20.186,0.002,6.108,0.023,3.068
587,-31.665999999999997,0.002,7.171,0.027999999999999997,3.1039999999999996
588,-4.411,0.003,6.928,0.026000000000000002,3.139
589,-30.484,0.004,6.721,0.019,3.319
590,-10.874,0.006,7.809,0.021,4.593
591,-30.907000000000004,0.015,9.774,0.017,4.375
592,-19.813000000000002,0.10400000000000001,10.27,0.017,4.4460000000000015
593,-25.237000000000002,0.518,11.123,0.013000000000000001,4.313
594,-8.144,0.596,13.079,0.015,4.295
595,-5.187,0.604,14.133,0.018000000000000002,4.1819999999999995
596,-9.822,0.7440000000000001,12.782,0.019,4.845
597,1.3229999999999995,0.7509999999999999,14.78,0.018000000000000002,6.263999999999999
598,-20.229999999999997,0.953,13.899000000000001,0.015,5.899
599,-18.213,0.958,15.878,0.015,5.7620000000000005
612,0.0,0.001,0.096,1.784,0.078
613,0.0,0.009000000000000001,0.24,1.883,0.078
614,0.0,0.018000000000000002,0.24,1.3230000000000002,0.073
615,0.0,0.032,0.29,0.934,0.07400000000000001
616,0.0,0.075,0.32,1.504,0.07400000000000001
617,0.0,0.139,0.39,2.174,0.153
618,0.0,0.23,0.4970000000000001,1.7619999999999998,0.209
619,0.0,0.4,0.78,1.053,0.254
633,13.290999999999999,0.004,0.06,10.929,0.29600000000000004
634,18.429000000000002,0.016,0.08,11.343,0.39899999999999997
635,-8.376,0.036000000000000004,0.1,12.965,0.408
636,4.231,0.039,0.084,15.675,0.49
637,-11.564,0.037000000000000005,0.073,19.887,0.45899999999999996
638,-8.758,0.038,0.08,20.471,0.428
639,8.565,0.038,0.086,24.41800000000001,0.455
650,-15.857,0.20600000000000002,1.5,12.915999999999999,0.314
651,-3.776,0.223,1.52,12.805,0.315
652,-3.9750000000000005,0.237,1.123,12.99,0.311
653,-50.571,0.214,1.3319999999999999,13.218,0.316
654,-60.991,0.244,1.444,13.684000000000001,0.321
655,-40.32699999999999,0.168,2.0580000000000003,13.41,0.318
656,-41.92,0.58,2.2,12.722000000000001,0.311
657,66.369,0.6,2.334,12.599,0.308
658,120.85100000000001,1.51,2.36,12.77,0.305
659,56.346999999999994,3.68,2.792,12.557,0.3
736,0.0,0.01,0.594,0.035,0.885
737,0.0,0.013999999999999999,0.723,0.026000000000000002,1.038
738,0.0,0.031,0.636,0.015,1.307
739,0.0,0.034,0.7190000000000001,0.01,1.314
751,0.0,0.001,0.03,6.199,0.045
752,0.0,0.002,0.192,7.314,0.038
753,0.0,0.006,0.35600000000000004,8.255,0.036000000000000004
754,0.0,0.016,0.5,8.923,0.031
755,0.0,0.018000000000000002,0.76,9.577,0.03
756,0.0,0.021,0.78,11.635,0.027999999999999997
757,0.0,0.022000000000000002,0.5329999999999999,12.554,0.027999999999999997
758,0.0,0.02,0.5329999999999999,12.888,0.028999999999999998
759,0.0,0.02,0.5329999999999999,13.991,0.028999999999999998
760,0.0,0.002,0.078,14.66,8.639
761,0.0,0.002,0.07,13.205,8.272
762,0.0,0.002,0.064,10.776,8.988999999999997
763,0.0,0.002,0.09300000000000001,9.591000000000001,9.379
764,0.0,0.002,0.12,15.07,10.44
765,0.0,0.003,0.17,13.784,9.512
766,0.0,0.003,0.156,11.494000000000002,10.814
767,0.0,0.004,0.188,14.177,9.955
768,0.0,0.004,0.261,17.112000000000002,10.405
769,0.0,0.004,0.27699999999999997,12.686,8.734
770,0.0,0.005,0.294,12.922,10.974
771,0.0,0.005,0.48100000000000004,12.445,11.245
772,0.0,0.006,0.494,16.859,11.2
773,0.0,0.006,0.774,12.839,12.011
774,0.0,0.008,1.107,13.397,11.759
775,0.0,0.011000000000000001,2.327,16.769000000000002,11.419
776,0.0,0.022000000000000002,3.068,15.799000000000001,11.523
777,0.0,0.049,4.795,14.770999999999999,11.862
778,0.0,0.09,5.8389999999999995,13.300999999999998,12.91
779,0.0,0.09,6.1270000000000024,12.225,12.738
780,0.0,0.005,0.048,66.363,2.479
781,0.0,0.006,0.131,74.267,2.8489999999999998
782,0.0,0.006999999999999999,0.266,60.397,3.043
783,0.0,0.008,0.38799999999999996,58.943999999999996,3.227
784,0.0,0.008,0.595,59.555,3.312
785,0.0,0.011000000000000001,0.963,51.48,3.391
786,0.0,0.012,2.1830000000000003,56.303999999999995,3.377
787,0.0,0.018000000000000002,4.07,57.604,3.7510000000000003
788,0.0,0.042,5.694,63.653999999999996,3.971
789,0.0,0.174,7.912000000000001,56.994,4.13
790,0.0,0.62,9.945,62.714,4.441
791,0.0,2.334,12.372,45.745,5.0360000000000005
792,0.0,4.428,15.177999999999999,59.832,5.256
793,0.0,5.194,16.127,71.922,5.537000000000001
794,0.0,6.391,17.324,63.773,5.909
795,0.0,7.752999999999999,21.421,55.556000000000004,6.522
796,0.0,8.658999999999999,21.381,60.839,7.535
797,0.0,9.585,24.609,50.00100000000001,7.766
798,0.0,10.569,28.599,65.285,8.335
799,0.0,12.569,33.599000000000004,57.285,8.335
840,-39.988,0.04,9.5,24.9,3.4
841,-26.880000000000003,0.1,10.5,23.2,5.2
842,1.4680000000000002,0.2,15.8,23.7,6.4
843,0.02799999999999958,0.3,19.2,17.7,8.9
844,-6.677,0.6,26.1,20.1,10.7
845,-27.322000000000003,1.3,27.9,19.6,14.7
846,-39.482,2.2,31.4,20.0,18.9
847,-1.343,3.1,40.5,21.2,24.6
848,-63.567,4.4,41.4,20.4,28.0
849,-51.702,6.6,39.538000000000004,19.0,30.8
850,-22.23,11.7,38.6,21.0,33.9
851,3.102999999999999,19.6,49.9,17.7,36.9
852,2.071999999999999,26.4,51.6,21.8,43.3
853,-39.411,31.0,52.7,23.0,45.5
854,-16.694,36.1,58.5,19.6,48.3
855,-20.95,38.7,80.6,19.0,50.4
856,-42.95099999999999,38.1,80.0,20.5,50.9
857,-7.997,39.4,105.7,20.2,51.0
858,-27.381,45.8,110.0,18.0,50.9
859,-90.06200000000001,46.4,125.9,19.7,50.2
884,4.312,0.001,1.121,4.672,0.124
885,-0.102,0.001,1.266,5.0169999999999995,0.122
886,-4.276,0.001,1.699,5.865,0.114
887,2.545,0.001,1.818,2.591,0.184
888,-3.0189999999999997,0.005,2.242,3.312,0.191
889,0.54,0.05,2.543,5.374,0.218
890,-10.008,0.158,2.714,7.46,0.19
891,2.204,0.61,3.315,4.011,0.207
892,6.278,1.694,3.85,4.4030000000000005,0.204
893,-15.31,3.648,4.138999999999999,6.346,0.21600000000000005
894,-4.002,3.792,3.6889999999999996,4.476,0.22
895,-8.245,3.9,4.621,6.098,0.231
896,-19.802,3.93,5.146,5.5429999999999975,0.27399999999999997
897,6.916,3.991,5.537000000000001,3.963,0.31
898,-3.4010000000000002,3.7910000000000004,6.3,5.742999999999999,0.314
899,-12.457,3.9760000000000004,7.24,4.276,0.314
915,0.0,0.15,0.107,3.872,2.338
916,0.0,0.193,0.215,3.992,2.665
917,0.0,0.19899999999999998,0.218,5.806,2.508
918,0.0,0.205,0.32,5.257999999999999,2.6260000000000003
919,0.0,0.22899999999999998,0.331,4.438,2.793
975,0.0,0.41700000000000004,0.665,2.3169999999999997,0.524
976,0.0,0.8809999999999999,0.574,2.327,0.797
977,0.0,0.924,0.578,3.057,0.905
978,0.0,0.993,0.929,3.2289999999999996,0.917
979,0.0,1.114,0.815,3.534,1.048
988,-0.922,0.001,0.205,0.213,1.939
989,-1.599,0.001,0.331,0.228,2.335
