,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity
589,-30.484,0.004,6.721,0.019
590,-10.874,0.006,7.809,0.021
591,-30.907000000000004,0.015,9.774,0.017
592,-19.813000000000002,0.10400000000000001,10.27,0.017
593,-25.237000000000002,0.518,11.123,0.013000000000000001
594,-8.144,0.596,13.079,0.015
595,-5.187,0.604,14.133,0.018000000000000002
596,-9.822,0.7440000000000001,12.782,0.019
597,1.3229999999999995,0.7509999999999999,14.78,0.018000000000000002
598,-20.229999999999997,0.953,13.899000000000001,0.015
599,-18.213,0.958,15.878,0.015
612,0.0,0.001,0.096,1.784
613,0.0,0.009000000000000001,0.24,1.883
614,0.0,0.018000000000000002,0.24,1.3230000000000002
615,0.0,0.032,0.29,0.934
616,0.0,0.075,0.32,1.504
617,0.0,0.139,0.39,2.174
618,0.0,0.23,0.4970000000000001,1.7619999999999998
619,0.0,0.4,0.78,1.053
633,13.290999999999999,0.004,0.06,10.929
634,18.429000000000002,0.016,0.08,11.343
635,-8.376,0.036000000000000004,0.1,12.965
636,4.231,0.039,0.084,15.675
637,-11.564,0.037000000000000005,0.073,19.887
638,-8.758,0.038,0.08,20.471
639,8.565,0.038,0.086,24.41800000000001
650,-15.857,0.20600000000000002,1.5,12.915999999999999
651,-3.776,0.223,1.52,12.805
652,-3.9750000000000005,0.237,1.123,12.99
653,-50.571,0.214,1.3319999999999999,13.218
654,-60.991,0.244,1.444,13.684000000000001
655,-40.32699999999999,0.168,2.0580000000000003,13.41
656,-41.92,0.58,2.2,12.722000000000001
657,66.369,0.6,2.334,12.599
658,120.85100000000001,1.51,2.36,12.77
659,56.346999999999994,3.68,2.792,12.557
736,0.0,0.01,0.594,0.035
737,0.0,0.013999999999999999,0.723,0.026000000000000002
738,0.0,0.031,0.636,0.015
739,0.0,0.034,0.7190000000000001,0.01
751,0.0,0.001,0.03,6.199
752,0.0,0.002,0.192,7.314
753,0.0,0.006,0.35600000000000004,8.255
754,0.0,0.016,0.5,8.923
755,0.0,0.018000000000000002,0.76,9.577
756,0.0,0.021,0.78,11.635
757,0.0,0.022000000000000002,0.5329999999999999,12.554
758,0.0,0.02,0.5329999999999999,12.888
759,0.0,0.02,0.5329999999999999,13.991
760,0.0,0.002,0.078,14.66
761,0.0,0.002,0.07,13.205
762,0.0,0.002,0.064,10.776
763,0.0,0.002,0.09300000000000001,9.591000000000001
764,0.0,0.002,0.12,15.07
765,0.0,0.003,0.17,13.784
766,0.0,0.003,0.156,11.494000000000002
767,0.0,0.004,0.188,14.177
768,0.0,0.004,0.261,17.112000000000002
769,0.0,0.004,0.27699999999999997,12.686
770,0.0,0.005,0.294,12.922
771,0.0,0.005,0.48100000000000004,12.445
772,0.0,0.006,0.494,16.859
773,0.0,0.006,0.774,12.839
774,0.0,0.008,1.107,13.397
775,0.0,0.011000000000000001,2.327,16.769000000000002
776,0.0,0.022000000000000002,3.068,15.799000000000001
777,0.0,0.049,4.795,14.770999999999999
778,0.0,0.09,5.8389999999999995,13.300999999999998
779,0.0,0.09,6.1270000000000024,12.225
780,0.0,0.005,0.048,66.363
781,0.0,0.006,0.131,74.267
782,0.0,0.006999999999999999,0.266,60.397
783,0.0,0.008,0.38799999999999996,58.943999999999996
784,0.0,0.008,0.595,59.555
785,0.0,0.011000000000000001,0.963,51.48
786,0.0,0.012,2.1830000000000003,56.303999999999995
787,0.0,0.018000000000000002,4.07,57.604
788,0.0,0.042,5.694,63.653999999999996
789,0.0,0.174,7.912000000000001,56.994
790,0.0,0.62,9.945,62.714
791,0.0,2.334,12.372,45.745
792,0.0,4.428,15.177999999999999,59.832
793,0.0,5.194,16.127,71.922
794,0.0,6.391,17.324,63.773
795,0.0,7.752999999999999,21.421,55.556000000000004
796,0.0,8.658999999999999,21.381,60.839
797,0.0,9.585,24.609,50.00100000000001
798,0.0,10.569,28.599,65.285
799,0.0,12.569,33.599000000000004,57.285
840,-39.988,0.04,9.5,24.9
841,-26.880000000000003,0.1,10.5,23.2
842,1.4680000000000002,0.2,15.8,23.7
843,0.02799999999999958,0.3,19.2,17.7
844,-6.677,0.6,26.1,20.1
845,-27.322000000000003,1.3,27.9,19.6
846,-39.482,2.2,31.4,20.0
847,-1.343,3.1,40.5,21.2
848,-63.567,4.4,41.4,20.4
849,-51.702,6.6,39.538000000000004,19.0
850,-22.23,11.7,38.6,21.0
851,3.102999999999999,19.6,49.9,17.7
852,2.071999999999999,26.4,51.6,21.8
853,-39.411,31.0,52.7,23.0
854,-16.694,36.1,58.5,19.6
855,-20.95,38.7,80.6,19.0
856,-42.95099999999999,38.1,80.0,20.5
857,-7.997,39.4,105.7,20.2
858,-27.381,45.8,110.0,18.0
859,-90.06200000000001,46.4,125.9,19.7
884,4.312,0.001,1.121,4.672
885,-0.102,0.001,1.266,5.0169999999999995
886,-4.276,0.001,1.699,5.865
887,2.545,0.001,1.818,2.591
888,-3.0189999999999997,0.005,2.242,3.312
889,0.54,0.05,2.543,5.374
890,-10.008,0.158,2.714,7.46
891,2.204,0.61,3.315,4.011
892,6.278,1.694,3.85,4.4030000000000005
893,-15.31,3.648,4.138999999999999,6.346
894,-4.002,3.792,3.6889999999999996,4.476
895,-8.245,3.9,4.621,6.098
896,-19.802,3.93,5.146,5.5429999999999975
897,6.916,3.991,5.537000000000001,3.963
898,-3.4010000000000002,3.7910000000000004,6.3,5.742999999999999
899,-12.457,3.9760000000000004,7.24,4.276
915,0.0,0.15,0.107,3.872
916,0.0,0.193,0.215,3.992
917,0.0,0.19899999999999998,0.218,5.806
918,0.0,0.205,0.32,5.257999999999999
919,0.0,0.22899999999999998,0.331,4.438
975,0.0,0.41700000000000004,0.665,2.3169999999999997
976,0.0,0.8809999999999999,0.574,2.327
977,0.0,0.924,0.578,3.057
978,0.0,0.993,0.929,3.2289999999999996
979,0.0,1.114,0.815,3.534
988,-0.922,0.001,0.205,0.213
989,-1.599,0.001,0.331,0.228
990,0.433,0.001,0.534,0.188
991,0.607,0.001,0.626,0.222
992,-0.45299999999999996,0.008,0.77,0.213
993,0.061,0.025,0.718,0.213
994,-0.276,0.067,0.657,0.301
995,-0.81,0.141,0.693,0.23399999999999999
996,-0.649,0.244,0.684,0.259
997,-2.086,0.349,0.758,0.22
998,-0.139,0.62,0.607,0.222
999,2.67,1.371,0.754,0.242
1020,112.156,0.006999999999999999,1.6840000000000002,73.717
1021,23.367,0.012,2.241,72.96
1022,103.14699999999999,0.013999999999999999,2.687,67.735
1023,101.882,0.017,3.59,79.994
1024,164.343,0.019,4.49,89.60700000000001
1025,83.55999999999999,0.019,6.603,97.404
1026,106.27700000000002,0.019,8.69,112.411
1027,153.999,0.059000000000000004,11.796,122.40700000000001
1028,220.017,0.063,13.700999999999999,115.006
1029,286.07000000000005,0.075,17.804000000000006,106.18799999999999
1030,224.019,0.113,19.66,111.37799999999999
1031,-45.596999999999994,0.8270000000000001,24.53,131.63299999999998
1032,-9.65700000000001,2.29,30.12,115.655
1033,-55.047,4.14,33.17,131.616
1034,132.889,5.85,37.34,130.328
1035,116.81599999999999,6.566,32.741,132.26
1036,7.102000000000004,11.556,43.453,128.611
1037,41.527,21.545,52.629,135.865
1038,213.31099999999998,36.330999999999996,60.31100000000001,141.33100000000005
1039,-48.951,46.273,63.308,161.741
1050,222.15699999999998,0.001,0.004,17.281
1051,465.168,0.001,0.005,12.295
1052,159.863,0.003,0.005,12.671
1053,579.679,0.005,0.001,16.754
1054,-145.993,0.006999999999999999,0.001,15.01
1055,16.942,0.005,0.004,13.604000000000001
1056,-22.223,0.021,0.006,18.49
1057,-10.015,0.028999999999999998,0.006,18.445999999999998
1058,645.6909999999998,0.091,0.19,21.42
1059,289.705,0.098,0.484,20.949
1091,0.0,0.001,4.38,0.7070000000000001
1092,0.0,0.001,4.01,0.802
1093,0.0,0.001,4.542,0.599
1094,0.0,0.002,5.14,0.7090000000000001
1095,0.0,0.003,6.5729999999999995,0.8059999999999999
1096,0.0,0.006,6.147,0.6809999999999999
1097,0.0,0.011000000000000001,7.444,0.6920000000000001
