,fossil_prod_change_twh,solar_electricity,wind_electricity
599,-18.213,0.958,15.878
612,0.0,0.001,0.096
613,0.0,0.009000000000000001,0.24
614,0.0,0.018000000000000002,0.24
615,0.0,0.032,0.29
616,0.0,0.075,0.32
617,0.0,0.139,0.39
618,0.0,0.23,0.4970000000000001
619,0.0,0.4,0.78
633,13.290999999999999,0.004,0.06
634,18.429000000000002,0.016,0.08
635,-8.376,0.036000000000000004,0.1
636,4.231,0.039,0.084
637,-11.564,0.037000000000000005,0.073
638,-8.758,0.038,0.08
639,8.565,0.038,0.086
650,-15.857,0.20600000000000002,1.5
651,-3.776,0.223,1.52
652,-3.9750000000000005,0.237,1.123
653,-50.571,0.214,1.3319999999999999
654,-60.991,0.244,1.444
655,-40.32699999999999,0.168,2.0580000000000003
656,-41.92,0.58,2.2
657,66.369,0.6,2.334
658,120.85100000000001,1.51,2.36
659,56.346999999999994,3.68,2.792
710,0.0,0.002,0.002
711,0.0,0.002,0.002
712,0.0,0.002,0.002
713,0.0,0.002,0.002
714,0.0,0.002,0.002
715,0.0,0.002,0.002
716,0.0,0.002,0.002
717,0.0,0.011000000000000001,0.002
718,0.0,0.043,0.002
719,0.0,0.06,0.002
736,0.0,0.01,0.594
737,0.0,0.013999999999999999,0.723
738,0.0,0.031,0.636
739,0.0,0.034,0.7190000000000001
751,0.0,0.001,0.03
752,0.0,0.002,0.192
753,0.0,0.006,0.35600000000000004
754,0.0,0.016,0.5
755,0.0,0.018000000000000002,0.76
756,0.0,0.021,0.78
757,0.0,0.022000000000000002,0.5329999999999999
758,0.0,0.02,0.5329999999999999
759,0.0,0.02,0.5329999999999999
760,0.0,0.002,0.078
761,0.0,0.002,0.07
762,0.0,0.002,0.064
763,0.0,0.002,0.09300000000000001
764,0.0,0.002,0.12
765,0.0,0.003,0.17
766,0.0,0.003,0.156
767,0.0,0.004,0.188
768,0.0,0.004,0.261
769,0.0,0.004,0.27699999999999997
770,0.0,0.005,0.294
771,0.0,0.005,0.48100000000000004
772,0.0,0.006,0.494
773,0.0,0.006,0.774
