,fossil_production,gdp
327,5.409,23521949696.0
328,5.944,23539697664.0
329,4.8210000000000015,21862223872.0
330,6.454,24107864064.0
331,5.148,26899136512.0
332,9.609,27167825920.0
333,9.772,27425443840.0
334,11.209000000000001,31468800000.0
335,13.65,31387396096.0
336,12.277000000000001,32747714560.0
337,0.0,
338,0.0,
339,0.0,
340,887.3029999999997,1470000000000.0
341,920.962,1460000000000.0
342,1037.631,1480000000000.0
343,1077.0169999999998,1480000000000.0
344,1084.5829999999999,1560000000000.0
345,1178.6589999999999,1630000000000.0
346,1239.685,1770000000000.0
347,1252.7699999999998,1970000000000.0
348,1328.676,2210000000000.0
349,1385.28,2300000000000.0
350,1473.9360000000001,2660000000000.0
351,1525.9769999999999,2970000000000.0
352,1532.119,2960000000000.0
353,1535.558,3040000000000.0
354,1697.1410000000003,3040000000000.0
355,1806.75,3180000000000.0
356,1853.8189999999997,2810000000000.0
357,1949.598,
358,1907.222,
359,2043.157,
360,49.948,68578938880.0
361,52.303999999999995,71572488192.0
362,51.50100000000001,75092246528.0
363,54.025,76743450624.0
364,52.78100000000001,80431669248.0
365,48.589,84497326080.0
366,50.095,92283183104.0
367,56.339,103000000000.0
368,56.536,110000000000.0
369,53.57899999999999,110000000000.0
370,57.51600000000001,111000000000.0
371,72.233,111000000000.0
372,65.27,115000000000.0
373,55.695,116000000000.0
374,59.646,120000000000.0
375,68.237,124000000000.0
376,59.523999999999994,128000000000.0
377,66.27600000000001,
378,61.28,
379,56.643,
380,0.0,15881768960.0
381,0.0,17062276096.0
382,0.0,18234327040.0
383,0.0,19668613120.0
384,0.0,20924801024.0
385,0.0,24951465984.0
386,0.0,26783873024.0
387,0.0,30065944576.0
388,0.0,33262047232.0
389,0.0,32224854016.0
390,0.0,33478596608.0
391,0.0,36606337024.0
392,0.0,39422988288.0
393,0.0,44624257024.0
394,0.0,45967020032.0
395,0.0,49188130816.0
396,0.0,52640825344.0
397,0.0,
398,0.0,
399,0.0,
400,54.165,35329376256.0
401,48.81100000000001,36148596736.0
402,44.463,37470752768.0
403,42.667,39493361664.0
404,42.138999999999996,40660705280.0
405,52.638000000000005,42509447168.0
406,55.24099999999999,44672548864.0
407,52.964,45796945920.0
408,52.148999999999994,47176802304.0
409,49.192,47888769024.0
410,43.672,50016722944.0
411,40.894,52887764992.0
412,43.18,55905361920.0
413,39.965,57928609792.0
414,52.849000000000004,61295681536.0
415,69.78399999999999,64840175616.0
416,66.55799999999999,67720478720.0
417,0.0,
418,0.0,
419,0.0,
420,3756.064,1150000000000.0
421,3801.385,1150000000000.0
422,3822.994,1170000000000.0
423,3836.205,1210000000000.0
424,3918.8899999999994,1260000000000.0
425,3929.029,1330000000000.0
426,4023.75,1360000000000.0
427,4037.5020000000004,1400000000000.0
428,3922.3170000000005,1460000000000.0
429,3775.366,1320000000000.0
430,3832.4130000000005,1390000000000.0
431,3956.6310000000003,1460000000000.0
432,4097.214,1450000000000.0
