Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Philippines,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.8,  1.2,  1.2,  1.6,  1.2,  1.5,  3.2,  4.0,  5.6,  4.2,  5.4,  5.6,  4.7,  5.3,  6.3,  5.7,  6.3,  6.4,  6.9,  9.2,  11.3,  12.2,  13.9,  18.9,  18.4,  17.2,  17.6,  18.6,  21.7,  20.6,  22.1,  25.9,  24.8,  28.6,  31.5,  32.9,  40.6,  43.3,  47.2,  53.5,  62.9,  66.5,  71.1,..
Singapore,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.0,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  1.1,  1.6,  1.6,  1.7,  3.6,  1.9,  1.8,..
Sri Lanka,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.3,  0.1,  0.3,  0.2,  0.2,  0.2,  0.3,  0.3,  1.4,  2.0,  2.1,  4.1,  5.5,  5.8,  6.0,  5.8,  6.4,..
Chinese Taipei,  10.3,  10.5,  9.3,  8.6,  8.7,  8.5,  8.6,  9.5,  11.6,  14.1,  13.3,  11.5,  17.1,  21.6,  24.7,  32.0,  34.9,  40.0,  42.0,  40.8,  44.7,  51.5,  56.3,  58.9,  60.3,  68.7,  78.3,  84.4,  87.5,  103.8,  110.9,  118.5,  127.8,  132.8,  137.4,  144.1,  149.7,  143.5,  138.1,  145.4,  151.2,  149.2,  151.4,  152.2,  147.1,  150.0,  153.1,  153.0,  148.2,  138.9
Thailand,  0.5,  0.4,  0.4,  0.6,  0.6,  0.7,  0.6,  0.8,  1.8,  1.9,  2.1,  2.7,  2.6,  3.3,  6.7,  7.1,  9.0,  9.9,  12.0,  16.5,  19.4,  20.8,  23.2,  26.4,  30.1,  36.5,  36.5,  30.6,  32.1,  32.2,  37.2,  39.0,  39.1,  44.3,  48.1,  51.1,  56.8,  61.9,  60.1,  65.8,  66.4,  66.1,  69.4,  65.0,  68.6,  62.6,  66.4,  64.1,  66.1,..
Viet Nam,  5.8,  4.3,  6.2,  7.5,  10.4,  9.8,  10.7,  10.8,  11.2,  9.5,  10.6,  11.8,  11.8,  11.8,  11.7,  12.9,  14.4,  13.4,  10.8,  9.3,  9.0,  9.1,  8.8,  9.7,  13.9,  15.0,  19.0,  19.1,  17.7,  18.3,  21.0,  23.1,  24.3,  30.7,  34.5,  37.1,  39.7,  48.9,  52.5,  61.0,  65.3,  65.9,  73.0,  84.4,  113.0,  110.4,  111.7,  158.9,  204.4,..
Other Asia,  4.5,  4.0,  4.1,  4.4,  4.9,  5.1,  6.0,  6.7,  7.1,  7.9,  7.3,  7.7,  8.0,  8.8,  1.0,  1.0,  1.0,  0.9,  1.0,  0.9,  0.9,  0.6,  0.5,  0.5,  0.6,  0.7,  0.7,  0.8,  1.0,  0.8,  0.9,  0.9,  1.0,  0.8,  0.8,  0.9,  1.3,  1.6,  2.0,  2.9,  4.7,  3.8,  4.0,  5.0,  4.3,  5.0,  5.9,  6.6,  6.7,..
Asia (excl. China),  220.8,  223.2,  223.5,  242.8,  262.1,  279.4,  287.3,  281.7,  305.8,  324.0,  350.5,  371.2,  398.0,  428.1,  458.8,  495.2,  520.2,  545.5,  570.5,  591.0,  631.5,  642.6,  659.2,  679.4,  713.9,  741.7,  785.7,  781.3,  839.9,  897.5,  938.8,  968.0, 1 022.9, 1 102.2, 1 174.1, 1 256.9, 1 378.9, 1 456.0, 1 547.9, 1 683.7, 1 782.2, 1 900.6, 1 929.8, 2 127.0, 2 145.6, 2 174.7, 2 362.2, 2 564.4, 2 674.3,..
People's Rep. of China,  677.2,  709.3,  720.1,  712.6,  840.6,  845.0,  969.8, 1 105.0, 1 134.3, 1 128.7, 1 138.6, 1 203.2, 1 271.0, 1 401.9, 1 420.1, 1 498.8, 1 609.2, 1 736.2, 1 797.3, 1 830.8, 1 920.8, 1 987.6, 2 138.1, 2 248.5, 2 512.4, 2 465.4, 2 486.6, 2 566.8, 2 421.2, 2 560.0, 2 697.5, 2 923.8, 3 413.5, 3 962.9, 4 612.8, 5 099.0, 5 558.4, 5 725.4, 6 167.7, 6 628.1, 7 339.4, 7 494.0, 7 804.9, 7 755.5, 7 557.9, 7 489.1, 7 591.0, 7 836.4, 7 914.3,..
"Hong Kong, China",  0.1,  0.1,  0.0,  0.0,  0.0,  0.1,  0.0,  0.0,  0.1,  0.1,  0.1,  3.6,  9.3,  12.7,  15.1,  18.3,  20.1,  22.0,  23.4,  25.1,  27.3,  29.1,  30.0,  23.2,  24.1,  18.8,  15.3,  17.7,  14.9,  17.3,  19.1,  21.2,  26.9,  25.1,  27.3,  27.3,  29.8,  27.3,  28.5,  24.8,  29.5,  29.0,  30.9,  32.4,  26.6,  26.7,  25.0,  25.6,  24.6,  13.1
"China (incl. Hong Kong, China)",  677.3,  709.4,  720.1,  712.6,  840.7,  845.0,  969.8, 1 105.1, 1 134.4, 1 128.8, 1 138.7, 1 206.8, 1 280.2, 1 414.5, 1 435.2, 1 517.1, 1 629.2, 1 758.2, 1 820.7, 1 855.9, 1 948.1, 2 016.6, 2 168.1, 2 271.8, 2 536.4, 2 484.2, 2 501.9, 2 584.5, 2 436.0, 2 577.3, 2 716.6, 2 945.0, 3 440.4, 3 988.0, 4 640.1, 5 126.3, 5 588.2, 5 752.7, 6 196.2, 6 652.9, 7 368.9, 7 523.0, 7 835.8, 7 787.9, 7 584.6, 7 515.7, 7 616.0, 7 862.0, 7 938.8,..
Argentina,  3.8,  3.5,  3.5,  3.9,  3.7,  3.7,  3.7,  4.2,  3.6,  3.1,  3.0,  3.3,  2.9,  3.0,  3.4,  2.9,  3.6,  4.6,  4.7,  4.0,  3.8,  3.4,  3.0,  4.8,  4.3,  4.4,  4.4,  4.7,  4.6,  4.7,  3.8,  3.3,  3.5,  4.7,  5.7,  5.9,  6.0,  6.7,  5.1,  6.4,  7.2,  6.7,  6.7,  7.3,  6.8,  5.5,  5.8,  6.4,  4.0,  4.5
Bolivia,-,-,-,-,-,-,-,-,-,-,  0.1,  0.6,  0.7,  0.4,  0.3,  0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,..
Brazil,  6.1,  6.4,  6.2,  6.2,  7.0,  7.8,  9.9,  12.5,  13.7,  15.1,  17.1,  19.3,  20.5,  25.0,  26.5,  28.9,  30.3,  30.8,  29.9,  27.8,  32.3,  31.2,  32.0,  31.5,  32.9,  34.0,  36.6,  35.7,  39.2,  46.6,  45.7,  44.9,  46.2,  49.0,  45.7,  45.6,  48.1,  48.6,  39.7,  54.3,  56.8,  59.7,  64.2,  67.4,  68.3,  61.6,  64.9,  64.1,  61.0,  55.1
Colombia,  6.2,  6.1,  6.5,  7.8,  6.7,  7.4,  7.4,  8.9,  9.0,  8.9,  8.9,  8.6,  8.8,  9.1,  10.3,  11.0,  12.1,  11.2,  12.4,  12.3,  12.8,  13.2,  14.9,  14.1,  14.1,  11.9,  12.5,  11.9,  10.0,  12.2,  12.2,  11.5,  11.5,  9.5,  10.6,  9.8,  10.3,  10.0,  12.5,  10.9,  12.7,  10.1,  16.0,  16.5,  15.7,  15.8,  13.0,  14.3,  17.6,  19.0
Costa Rica,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.1,  0.0,  0.1,  0.0,  0.0,  0.0,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,..
Cuba,  0.4,  0.5,  0.3,  0.3,  0.3,  0.3,  0.3,  0.4,  0.3,  0.4,  0.4,  0.5,  0.4,  0.5,  0.5,  0.5,  0.5,  0.4,  0.2,  0.6,  0.4,  0.2,  0.2,  0.3,  0.3,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.0,  0.1,  0.1,  0.1,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,..
Curaçao,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Dominican Republic,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.5,  0.1,  0.6,  0.2,  0.0,  0.0,  0.5,  0.5,  0.5,  0.1,  0.2,  0.3,  0.3,  0.1,  0.1,  0.1,  0.3,  0.7,  1.4,  1.4,  1.5,  1.8,  2.0,  2.2,  2.1,  2.0,  2.2,  2.4,  2.3,  2.7,  2.6,  2.7,  2.8,  2.7,  3.0,..
Ecuador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
El Salvador,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,..
Guatemala,-,-,-,-,-,-,-,-,-,  0.1,  0.1,  0.0,  0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.5,  0.9,  1.0,  0.9,  1.0,  1.0,  1.0,  1.1,  1.1,  0.7,  1.2,  1.2,  1.6,  2.4,  2.6,  3.8,  4.4,  3.7,  4.3,  4.2,..
Guyana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Haiti,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.1,  0.1,  0.1,  0.0,  0.0,  0.1,  0.0,  0.0,  0.1,  0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Honduras,-,-,-,-,-,-,-,-,  0.0,-,  0.0,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.3,  0.3,  0.3,  0.4,  0.4,  0.1,  0.2,  0.2,  0.3,  0.3,  0.3,  0.3,  0.4,  0.3,  0.4,  0.3,  0.1,  0.0,-,-,..
Jamaica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.1,  0.1,  0.0,  0.2,  0.1,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.1,  0.1,  0.2,  0.2,  0.2,  0.1,  0.1,  0.1,  0.1,  0.2,  0.1,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,..
Nicaragua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Panama,  0.0,  0.0,  0.0,  0.0,  0.0,-,-,-,-,-,-,-,-,-,  0.1,  0.1,  0.1,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.3,  0.1,  0.1,  0.1,  0.1,  0.2,  0.1,-,-,-,-,-,-,-,-,  0.6,  0.8,  0.8,  0.9,  0.9,  0.8,  0.2,  0.5,  2.2,..
Paraguay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,..
Peru,  0.6,  0.5,  0.6,  0.6,  0.6,  0.6,  0.6,  0.5,  0.5,  0.7,  0.7,  0.6,  0.6,  0.5,  0.7,  0.8,  0.7,  0.7,  0.8,  0.6,  1.0,  1.4,  1.4,  1.4,  1.4,  1.5,  1.6,  1.8,  1.6,  2.5,  2.2,  3.1,  3.0,  3.4,  3.6,  3.1,  4.3,  3.8,  3.4,  3.6,  3.4,  3.2,  3.5,  3.4,  3.4,  3.4,  2.8,  2.5,  2.7,..
Suriname,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Trinidad and Tobago,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Uruguay,  0.1,  0.1,  0.1,  0.1,  0.1,  0.0,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,  0.6,  0.6,  1.2,  0.9,  1.1,  0.7,  1.1,  0.3,  0.7,  0.7,  0.7,  0.4,  0.5,  0.6,  0.8,  0.9,  1.1,  0.8,  2.1,  1.9,-,  0.0,  0.1,  0.2,  0.0,  0.1,  0.1,  0.1,  0.1,  0.5,  0.2,  0.1,  0.2,-,  0.1,  1.0,  0.6,  0.6,  0.9,  0.8,  0.8,  0.8,  0.8,  0.8,  0.5,  0.6,  0.3,  0.1,  0.2,..
Other Non-OECD Americas,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.3,  0.3,  0.7,  0.7,  1.4,  3.8,  3.6,  3.6,  4.1,  4.1,  4.1,  4.1,  4.1,  3.7,  3.7,  3.1,  3.5,  3.3,  3.5,  0.0,  0.0,  0.0,..
Non-OECD Americas,  11.7,  11.7,  12.0,  12.1,  12.9,  13.2,  15.7,  18.0,  18.9,  20.2,  22.2,  24.9,  26.0,  30.1,  33.0,  34.3,  37.0,  37.8,  38.0,  35.2,  38.3,  37.0,  37.5,  38.7,  39.4,  40.8,  43.4,  43.1,  46.7,  56.4,  54.6,  55.3,  59.8,  63.9,  61.7,  62.8,  66.6,  67.6,  56.6,  72.9,  76.4,  79.5,  84.6,  89.3,  90.2,  82.9,  80.8,  81.1,  77.5,..
Bahrain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Islamic Rep. of Iran,  0.4,  0.7,  1.1,  1.2,  2.1,  2.1,  2.1,  1.3,  1.9,  2.0,  1.7,  2.2,  2.1,  1.7,  1.7,  1.6,  1.6,  1.7,  1.2,  1.2,  1.7,  1.5,  2.0,  2.0,  1.9,  2.1,  2.1,  2.4,  3.1,  3.4,  3.2,  3.3,  3.5,  3.8,  4.8,  4.7,  5.0,  3.7,  2.7,  2.7,  3.0,  2.7,  3.8,  4.3,  4.6,  4.6,  4.9,  5.1,  5.3,..
Iraq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Jordan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.9,  0.9,  1.5,  0.7,  0.9,  0.7,  0.9,  0.9,..
Kuwait,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Lebanon,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,-,-,-,-,-,-,-,-,-,  0.3,  0.3,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.6,  0.7,  0.7,  0.5,  0.7,  0.7,  0.7,  0.7,  0.7,  0.6,..
Oman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Syrian Arab Republic ,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,..
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.4,  0.4,  0.5,  0.6,  1.1,  0.5,  1.4,  1.1,  2.6,  1.8,  5.5,  7.1,  7.9,  6.8,  7.3,  8.5,  7.7,  7.1,..
Yemen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.2,  0.4,  0.4,  0.4,  0.5,  0.5,  0.3,  0.3,  0.3,  0.3,  0.3,..
Middle East,  0.5,  0.7,  1.2,  1.3,  2.2,  2.2,  2.2,  1.4,  1.9,  2.0,  1.7,  2.3,  2.1,  1.7,  1.7,  1.6,  1.6,  1.7,  1.2,  1.2,  1.7,  1.5,  2.3,  2.3,  2.4,  2.6,  2.6,  2.9,  3.6,  4.0,  3.8,  4.2,  4.5,  4.8,  5.9,  6.3,  6.0,  5.7,  4.6,  6.4,  5.9,  10.3,  12.7,  14.8,  13.2,  13.8,  15.0,  14.6,  14.2,..
IEA/Accession/Association, 4 183, 4 217, 4 360, 4 351, 4 419, 4 629, 4 810, 4 896, 5 152, 5 226, 5 349, 5 392, 5 558, 5 865, 6 074, 6 118, 6 377, 6 607, 6 702, 6 733, 6 797, 6 768, 6 919, 7 060, 7 427, 7 551, 7 680, 7 696, 7 517, 7 925, 8 144, 8 325, 8 984, 9 652, 10 350, 10 928, 11 592, 11 704, 11 823, 12 648, 13 338, 13 456, 13 822, 13 875, 13 389, 13 119, 13 311, 13 550, 13 300,..
European Union - 27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 1 538, 1 458, 1 360, 1 299, 1 283, 1 273, 1 282, 1 228, 1 173, 1 114, 1 140, 1 137, 1 138, 1 179, 1 164, 1 129, 1 143, 1 165, 1 077,  960, 1 007, 1 022, 1 027, 1 000,  950,  950,  903,  889,  846,  688,  555
G7, 2 480, 2 463, 2 565, 2 522, 2 430, 2 570, 2 594, 2 555, 2 723, 2 738, 2 833, 2 758, 2 832, 2 911, 3 028, 2 955, 3 025, 3 122, 3 132, 3 145, 3 083, 3 014, 2 991, 2 990, 3 038, 3 120, 3 180, 3 136, 3 091, 3 253, 3 269, 3 197, 3 275, 3 294, 3 311, 3 286, 3 342, 3 225, 2 854, 3 039, 2 908, 2 747, 2 825, 2 755, 2 482, 2 300, 2 243, 2 135, 1 855, 1 574
G8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 3 860, 3 748, 3 606, 3 513, 3 465, 3 527, 3 606, 3 598, 3 541, 3 523, 3 700, 3 713, 3 630, 3 708, 3 711, 3 727, 3 724, 3 764, 3 654, 3 231, 3 446, 3 335, 3 185, 3 241, 3 140, 2 896, 2 698, 2 634, 2 564, 2 288, 2 005
G20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 7 529, 7 527, 7 427, 7 501, 7 580, 7 954, 8 056, 8 104, 8 106, 7 939, 8 369, 8 582, 8 750, 9 418, 10 062, 10 759, 11 357, 12 007, 12 115, 12 175, 13 021, 13 740, 13 852, 14 186, 14 216, 13 746, 13 464, 13 642, 13 920, 13 655,..
Africa,  145,  149,  162,  170,  185,  201,  200,  176,  182,  192,  202,  199,  191,  201,  207,  206,  224,  220,  223,  231,  228,  225,  232,  234,  242,  252,  264,  274,  256,  265,  303,  313,  330,  355,  351,  351,  365,  394,  370,  390,  368,  386,  394,  414,  389,  391,  405,  413,  426,..
Americas, 1 205, 1 266, 1 339, 1 332, 1 323, 1 412, 1 469, 1 459, 1 545, 1 565, 1 649, 1 588, 1 679, 1 780, 1 833, 1 791, 1 876, 1 968, 1 989, 2 016, 2 008, 2 014, 2 061, 2 074, 2 134, 2 219, 2 326, 2 307, 2 292, 2 416, 2 415, 2 333, 2 386, 2 405, 2 433, 2 405, 2 440, 2 386, 2 097, 2 240, 2 136, 1 902, 1 971, 1 962, 1 731, 1 609, 1 575, 1 495, 1 301,..
Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 3 103, 3 241, 3 304, 3 465, 3 594, 3 882, 3 884, 3 951, 4 011, 3 930, 4 207, 4 399, 4 676, 5 259, 5 922, 6 651, 7 249, 7 882, 8 160, 8 683, 9 353, 10 188, 10 495, 10 838, 10 993, 10 789, 10 754, 11 071, 11 518, 11 682,..
Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 2 889, 2 711, 2 518, 2 322, 2 186, 2 169, 2 131, 1 986, 1 924, 1 860, 1 919, 1 922, 1 908, 1 980, 1 932, 1 881, 1 953, 1 959, 1 860, 1 642, 1 733, 1 789, 1 835, 1 779, 1 645, 1 626, 1 531, 1 477, 1 473, 1 304,..
Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 2 889, 2 711, 2 518, 2 322, 2 186, 2 169, 2 131, 1 986, 1 924, 1 860, 1 919, 1 922, 1 908, 1 980, 1 932, 1 881, 1 953, 1 959, 1 860, 1 642, 1 733, 1 789, 1 835, 1 779, 1 645, 1 626, 1 531, 1 477, 1 473, 1 304,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The original version of this file, as published by the International Energy Agency, is available free of charge on the IEA’s website at:",,,,,,,,,,,,,,,,,,,,,,https://www.iea.org/subscribe-to-data-services/co2-emissions-statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"
You are permitted to use the data in this file as set out in the IEA’s terms and conditions here:  ",,,,,,,,,,,,,,,,,,,,,,https://www.iea.org/terms,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"This notice, and any copyright or sourcing statements in the file, must not be removed from this file.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
